rows,cols,ratio,r_row,r_cell,variant,family,rmse,max_abs_error,max_rel_error,mean_rel_error,backend,elapsed_s
16,16,0.0005,5.0,10000.0,combined_full,full,4.733980780436938e-06,4.733980780436938e-06,0.004226768553961552,0.004226768553961552,dense,0.017762899995432235
16,16,0.0007,7.0,10000.0,baseline,none,0.00012109331390861892,0.000146009106683846,0.13036527382486252,0.1058491653494304,dense,0.00865709999925457
16,16,0.0007,7.0,10000.0,wl_partial_2,partial,6.845834858312485e-05,6.880325657374411e-05,0.061431479083700107,0.06112274581398795,dense,0.025038399995537475
16,16,0.0007,7.0,10000.0,wl_partial_4,partial,7.054351206020615e-05,7.22497245547152e-05,0.06450868263813857,0.06296947316305926,dense,0.015896600001724437
16,16,0.0007,7.0,10000.0,wl_full_nonideal_lo,partial,6.824576145967023e-05,6.825008394633421e-05,0.06093757495208412,0.06093371375394177,dense,0.05909389999578707
16,16,0.0007,7.0,10000.0,wl_full_nonideal_hi,partial,6.878180992265672e-05,6.880337032189217e-05,0.06143158064454658,0.06141228481728034,dense,0.031177700002444908
16,16,0.0007,7.0,10000.0,wl_buffer_full,full,6.811169404958911e-05,6.811169404958911e-05,0.06081401254427599,0.06081401254427599,dense,0.03928040000027977
16,16,0.0007,7.0,10000.0,bl_star,full,6.865709227808366e-05,9.351871074094625e-05,0.08349884887584487,0.05615504087013,dense,0.009251399998902343
16,16,0.0007,7.0,10000.0,combined_full,full,6.613127229607423e-06,6.613127229607423e-06,0.005904577883578057,0.005904577883578057,dense,0.018352900005993433
16,16,0.001,10.0,10000.0,baseline,none,0.00016469315495111503,0.0001977617303090814,0.17657297349025128,0.14411555400509102,dense,0.009032300004037097
16,16,0.001,10.0,10000.0,wl_partial_2,partial,9.491007017600654e-05,9.537866707193493e-05,0.08515952417137047,0.08474009609519519,dense,0.014155299999401905
16,16,0.001,10.0,10000.0,wl_partial_4,partial,9.773897209429802e-05,0.00010005479230480252,0.08933463598643084,0.08724593007600222,dense,0.01031409999995958
16,16,0.001,10.0,10000.0,wl_full_nonideal_lo,partial,9.462132503727683e-05,9.462719860620821e-05,0.08448857018411447,0.08448332348235485,dense,0.043822200008435175
16,16,0.001,10.0,10000.0,wl_full_nonideal_hi,partial,9.534959040563851e-05,9.537888256106386e-05,0.08515971657237845,0.0851335023231474,dense,0.03521010000258684
16,16,0.001,10.0,10000.0,wl_buffer_full,full,9.443914818130228e-05,9.443914818130228e-05,0.0843206680190199,0.0843206680190199,dense,0.018423699992126785
16,16,0.001,10.0,10000.0,bl_star,full,9.527196203570741e-05,0.00012960297400059799,0.1157169410719625,0.07798183856648272,dense,0.009648499995819293
16,16,0.001,10.0,10000.0,combined_full,full,9.416557881722961e-06,9.416557881722961e-06,0.008407640965824073,0.008407640965824073,dense,0.020242700004018843
32,32,0.0001,1.0,10000.0,baseline,none,0.0001455914718379295,0.00017648612291240378,0.07878844772875171,0.06354232211113889,dense,0.1669731000001775
32,32,0.0001,1.0,10000.0,wl_partial_2,partial,7.693912334063098e-05,7.704351449047339e-05,0.03439442611181849,0.03434779126129089,dense,0.32491869998921175
32,32,0.0001,1.0,10000.0,wl_partial_4,partial,7.75670183615837e-05,7.808763076030999e-05,0.03486054944656697,0.034627474269126615,dense,0.237299600004917
32,32,0.0001,1.0,10000.0,wl_full_nonideal_lo,partial,7.687572576518895e-05,7.687637861759997e-05,0.03431981188285714,0.03431952039251378,dense,1.2146232000086457
32,32,0.0001,1.0,10000.0,wl_full_nonideal_hi,partial,7.704025724076483e-05,7.704351953626227e-05,0.034394428364402804,0.03439297102532722,dense,1.1072274000034668
32,32,0.0001,1.0,10000.0,wl_buffer_full,full,7.683459036010977e-05,7.683459036010977e-05,0.034301156410763305,0.034301156410763305,dense,0.5250601000007009
32,32,0.0001,1.0,10000.0,bl_star,full,8.051964888662387e-05,0.00011003213587162768,0.04912148922840523,0.03285307938233238,dense,0.15720739999960642
32,32,0.0001,1.0,10000.0,combined_full,full,3.6880114642943128e-06,3.6880114642943128e-06,0.0016464336894171044,0.0016464336894171044,dense,0.5219172000070103
32,32,0.0003,2.9999999999999996,10000.0,baseline,none,0.00038266924208799313,0.0004589020905301157,0.20486700470094457,0.16748896678824657,dense,0.218945700005861
32,32,0.0003,2.9999999999999996,10000.0,wl_partial_2,partial,0.0002135206228268449,0.00021379598546463928,0.09544463636814256,0.09532162724974722,dense,0.3160814000002574
32,32,0.0003,2.9999999999999996,10000.0,wl_partial_4,partial,0.00021517528421828905,0.00021654763992126364,0.09667305353627843,0.09605874451474668,dense,0.2671377999940887
32,32,0.0003,2.9999999999999996,10000.0,wl_full_nonideal_lo,partial,0.00021335342402937018,0.00021335514631694958,0.09524783317720967,0.09524706420259743,dense,1.1441764000046533
32,32,0.0003,2.9999999999999996,10000.0,wl_full_nonideal_hi,partial,0.0002137874177412532,0.00021379602300386318,0.09544465312672466,0.09544080909184656,dense,1.6431628999998793
32,32,0.0003,2.9999999999999996,10000.0,wl_buffer_full,full,0.00021324490461422816,0.00021324490461422816,0.09519861813135189,0.09519861813135189,dense,0.5248296000063419
32,32,0.0003,2.9999999999999996,10000.0,bl_star,full,0.00022362840256503303,0.00030470160943960154,0.13602750421410786,0.09137799115658442,dense,0.18657629999506753
32,32,0.0003,2.9999999999999996,10000.0,combined_full,full,1.1016450826315926e-05,1.1016450826315926e-05,0.004918058404605325,0.004918058404605325,dense,0.521635500001139
32,32,0.0005,5.0,10000.0,baseline,none,0.0005680295291602923,0.0006748980622000233,0.30129377776786764,0.24917795014453992,dense,0.1749846000020625
32,32,0.0005,5.0,10000.0,wl_partial_2,partial,0.00033110431325469067,0.00033151289502920977,0.1479968281380401,0.14781431287886612,dense,0.3113885000057053
32,32,0.0005,5.0,10000.0,wl_partial_4,partial,0.0003335573863619646,0.0003355924467390223,0.1498180565799207,0.14890720692292653,dense,0.22349600000598002
32,32,0.0005,5.0,10000.0,wl_full_nonideal_lo,partial,0.0003308562644512903,0.00033085882023968093,0.14770483046414332,0.14770368935053685,dense,1.0703452000016114
32,32,0.0005,5.0,10000.0,wl_full_nonideal_hi,partial,0.00033150021464869837,0.0003315129830841761,0.14799686744829293,0.1479911638467096,dense,1.0940158999874257
32,32,0.0005,5.0,10000.0,wl_buffer_full,full,0.00033069522666811005,0.00033069522666811005,0.14763179761969203,0.14763179761969203,dense,0.4922379999916302
